,Rmax,Protein,Absorption,Extensibility,DDT,Stability
A4 GW Magenta,323.5,12.84027778,69.1,22.71,5.5,6.76
A4 GW Wyalkatchem,298,13.16937355,67.4,21.51,5.57,7.44
A4 ERBN Magenta,469,11.74537037,64.2,23.25,5.5,12.73
A4 ERBN Wyalkatchem,533,12.25724218,62.5,23.64,7.31,12.17
A4 ERBN Chiefclplus,441.5,12.1575898,61.9,20.44,6.81,9.62
A4 ERBN Scepter,532.5,11.64583333,62.7,21.93,7.31,12.51
A4 ERBN Corack,434,12.38559814,63.4,22.3,7.09,8.96
A4 ERBN Emurock,587.5,11.94444444,63,22.71,7.03,15.37
W3 ERBN Corack,408,11.61350407,63.7,22.57,5.91,10.49
W3 ERBN Westonia,380.5,11.63236994,65.1,25.49,5.63,9.68
W3 ERBN Scepter,563,11.16106605,62.9,21.33,6.9,16.37
W3 ERBN Mace,458,10.94907407,63,22.04,7.19,11.77
W3 ERBN Magenta,413,11.30795848,64.3,24.21,5.44,11.04
A4 GB Chiefclplus,321,10.22377622,61.4,16.53,4.04,8.03
A4 GB Corack,222.5,10.21187427,63.8,17.17,4.07,5.64
A4 GB Mace,322,9.911525029,64.2,20.01,4.94,7.63
A4 GB Magenta,402,10.25231481,64,21.12,4.39,9.78
A4 GB Scepter,400,9.5,62,18.13,5.56,8.25
A4 GB Wyalkatchem,360,9.777262181,62.6,18.13,5.85,8.28
W3 GB Corack,249.5,9.4,62.4,17.67,3.61,6.29
W3 GB Scepter,392.5,8.869061414,62.9,16.14,4.08,7.81
W3 GB Emurock,467.5,9.4,60.6,18.34,4.54,10.73
W3 GB Magenta,361,9.16801854,62.9,18.63,4.98,8.09
W3 GB Mace,348,9.367323291,63.5,17.13,4.82,8.53
A4 GW Mace,332.5,13.2,67,22.82,5.6,9.02
A4 GW Scepter,394.5,12.98490128,67.4,22.11,6.63,8.41
A4 ERBN Mace,514.5,11.5,62.7,21.08,8.59,13.76
W3 ERBN Emurock,504.5,11.74537037,64.1,24.36,6.16,14.12
W3 GB Westonia,322.5,9.267670915,63,16.35,3.95,7.26
