ID,Rmax,Protein,Absorption,Extensibility,DDT,Stability
W18-0520,284.5,11.31,64.4,19.8,5.69,7.53
W18-0521,436,12.09,64.4,24.17,7.46,10.18
W18-0522,400.5,11.36,64.7,20.19,6.94,9.87
W18-0523,492.5,12.98,63.6,23.32,6.88,10.74
W18-0524,416,12.39,67.6,21.9,7,10.08
W18-0526,472,12.01,63.8,21.33,7.68,13
W18-0527,548,11.73,62,23.07,7.28,13.32
W18-0528,582,12.39,65,24.49,6.94,16.37
W18-0529,408.5,12.29,64,24.07,6.59,9.4
W18-0530,486.5,12.3,64.4,24.39,6.1,15.68
W18-0531,323.5,11.94,68.8,19.05,5.91,8.34
W18-0532,428,12.04,68.2,23.32,5.91,9.9
W18-0533,399,11.65,66.6,21.93,6.63,9.03
W18-0534,536,11.9,63.5,21.75,8.5,12.11
W18-0536,449.5,12.07,63.1,23.35,6.91,10.27
W18-0538,452.5,12.06,63,21.68,7.25,11.08
W18-0539,552.5,13.08,65.5,22.43,8.65,13.91
W18-0540,484.5,13.07,65.8,24.78,8.46,14.07
W18-0543,410,12.76,65.9,24.17,5.31,8.9
W18-0544,427,12.06,65,22.75,6.62,9.06
W18-0586,469,11.75,64.2,23.25,5.5,12.73
W18-0587,533,12.26,62.5,23.64,7.31,12.17
W18-0589,441.5,12.16,61.9,20.44,6.81,9.62
W18-0593,434,12.39,63.4,22.3,7.09,8.96
W18-0595,514.5,11.5,62.7,21.08,8.59,13.76
W18-0596,537.5,11.25,61.8,19.8,6.66,13.97
W18-0597,447,10.75,62.3,22.07,5.69,11.51
W18-0598,587.5,11.94,63,22.71,7.03,15.37
W18-0744,380.5,11.63,65.1,25.49,5.63,9.68
W18-0756,504.5,11.75,64.1,24.36,6.16,14.12
W18-0761,561.5,11.5,61.7,22.15,12.29,31.96
W18-0762,602.5,10.95,60.6,21.04,8.93,23.93
W18-0763,458,10.95,63,22.04,7.19,11.77
W18-0766,509.5,11.36,64.1,21.83,6.07,13.82
